idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
208.0,0.347394192085706,0.7321608996793141,2.03592286569568,0.281742752555666,0.9084846629365392,0.0,1.0,1.0,60.0,59.42,216.0,0.13,1.37409269711516,1.25104559423879,1.19297265080158,0.0,6.0
93.0,0.495482214892126,0.762032493065504,2.31715654349795,0.227961882273054,0.877638564986933,0.0,1.0,1.0,50.0,49.38,292.0,0.25,1.75293251540658,1.7602051131739598,1.78589281583945,0.0,1.0
134.0,0.430895093799573,0.7249949250355241,2.39694230107182,0.290809264245668,0.8480266799897471,0.0,1.0,1.0,57.5,56.26,373.0,0.51,3.05752691611506,2.91019212001208,3.07794426570687,0.0,3.0
7.0,0.4818092615816621,0.765591266134836,2.2715824901599504,0.227759031317618,0.8808508359354972,0.0,1.0,1.0,45.0,43.91,342.0,0.44,2.7228637152049906,2.403253091174049,2.46544710580319,0.0,6.0
60.0,0.472184062926389,0.739623088074318,2.40821442391068,0.259632626541534,0.8698377758406299,0.0,1.0,1.0,50.0,49.02,356.0,0.48,2.62935522692066,2.61050914876617,2.66788182491932,0.0,5.0
125.0,0.437124839487978,0.7420489455484479,2.3022963434438704,0.267030218117834,0.885427365914029,0.0,1.0,1.0,55.0,54.62,329.0,0.33,2.2571889483336203,2.1202184304297,2.24369260958165,0.0,3.0
48.0,0.4690030000479221,0.7617654676478208,2.25573801170503,0.233527638021943,0.8894739834007429,0.0,1.0,1.0,47.5,46.55,329.0,0.38,2.4793739458662296,2.20389613336644,2.2235347468524904,0.0,6.0
76.0,0.458402941884914,0.75763315402682,2.25622331117467,0.24123213778747896,0.8856329145125971,0.0,1.0,1.0,50.0,48.98,339.0,0.42,2.64599594880596,2.33642512147033,2.37758054832739,0.0,6.0
17.0,0.5030541129537209,0.7356511248105692,2.56751139632266,0.254893276430759,0.770556985844355,0.0,1.0,1.0,45.0,44.19,334.0,0.38,2.24254355477452,2.24411754715203,2.3123964775090498,0.0,1.0
13.0,0.463853472438532,0.762532216986168,2.20051306660491,0.23083610914614106,0.9011751676190972,0.0,1.0,1.0,47.5,46.6,255.0,0.22,1.94410466144737,1.55006236944891,1.4360644981099495,0.0,7.0
74.0,0.458784766182959,0.7434391495056129,2.34563145761584,0.254297239875431,0.8945516029294641,0.0,1.0,1.0,50.0,48.94,344.0,0.44,2.72875912856943,2.40233840151852,2.45146935002318,0.0,6.0
77.0,0.458806341312681,0.728141201141725,2.41691373310827,0.278752636146687,0.843580077452995,0.0,1.0,1.0,52.5,51.15,380.0,0.62,3.20175604641622,3.1777813049331702,3.24192076384683,0.0,5.0
140.0,0.435204456340307,0.7327617791455991,2.29213111965426,0.287564449216168,0.8973850426003009,0.0,1.0,1.0,57.5,56.56,355.0,0.44,2.63044963255293,2.59243840974992,2.67567588949658,0.0,5.0
68.0,0.460277002250799,0.7164555510976099,2.53146562183926,0.29264957876806896,0.8166614077932979,0.0,1.0,1.0,50.0,48.85,335.0,0.37,2.46448274690032,2.19160621549866,2.37924171633598,0.0,4.0
97.0,0.411650016134921,0.7298630776866261,2.27971361356987,0.286795799597261,0.8599267449097501,0.0,1.0,1.0,57.5,56.64,274.0,0.27,2.12721688759882,1.69808749960907,1.5128964398692502,0.0,7.0
46.0,0.458157223181629,0.7350563053129872,2.40749874481626,0.26234499886469304,0.8575762695693392,0.0,1.0,1.0,47.5,46.51,335.0,0.41,2.5884846464945,2.2895183148033103,2.3253937962555,0.0,6.0
47.0,0.4470159672254629,0.7291393239420191,2.42088461305596,0.27639632540185305,0.871594151464235,0.0,1.0,1.0,52.5,51.47,303.0,0.34,2.52252192455153,1.96128971185108,1.8417222469403896,0.0,7.0
6.0,0.502391196398052,0.737278263562234,2.5152371397182,0.256531928359725,0.7993730952831629,0.0,1.0,1.0,45.0,43.95,361.0,0.51,2.7284502169150096,2.73880272302145,2.8109057178471404,0.0,1.0
15.0,0.476684510278649,0.742313345309322,2.41466292425977,0.254818736248162,0.839355091473701,0.0,1.0,1.0,45.0,44.0,314.0,0.32,2.1698491052756204,1.95597056987351,2.08862953557288,0.0,4.0
18.0,0.479964862090113,0.746157289956723,2.36238013687203,0.246773089516653,0.8583382143318209,0.0,1.0,1.0,45.0,44.06,303.0,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0.0,4.0
33.0,0.439068291160404,0.777181938291754,2.02266339026569,0.200483280040664,0.966081373628428,0.0,1.0,1.0,45.0,44.43,215.0,0.14,1.27845166018596,1.21431481065107,1.2563298654263702,0.0,3.0
190.0,0.3688799528635221,0.700437072733386,2.2814126565070296,0.334017764671084,0.8331811522078499,0.0,1.0,1.0,60.0,59.28,330.0,0.33,2.1909729443075903,2.15884826216157,2.2191780914660497,0.0,2.0
165.0,0.365747717629437,0.7122811516161659,2.25500890478743,0.315535924256026,0.9088168499622672,0.0,1.0,1.0,60.0,59.18,348.0,0.39,2.5143292130474304,2.47393832146529,2.55022402410402,0.0,5.0
155.0,0.41641859440455103,0.757013732229103,2.10513016562711,0.248019561399816,0.9313707304479352,0.0,1.0,1.0,57.5,56.84,258.0,0.2,1.57023419360903,1.46265038169029,1.51552872785933,0.0,3.0
23.0,0.447966948644721,0.732032267982373,2.42623808321556,0.272523715861776,0.84884108054479,0.0,1.0,1.0,50.0,48.93,307.0,0.34,2.5696416372065203,1.98715077397166,1.90016870873456,0.0,7.0
