idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
17.0,0.357146468458722,7.0404092104208695,18.058310491351897,4.2500068965796,45.0,44.19,334.0,0.38,2.24254355477452,2.24411754715203,2.3123964775090498,0.0,1.0
13.0,0.183224430677,8.67270507960657,12.3333742072265,3.51286381222296,47.5,46.6,255.0,0.22,1.94410466144737,1.55006236944891,1.4360644981099495,0.0,7.0
74.0,0.413566974521174,8.49473692994673,14.7825347497898,3.85063062882541,50.0,48.94,344.0,0.44,2.72875912856943,2.40233840151852,2.45146935002318,0.0,6.0
77.0,0.388115284448945,8.064836958037489,16.7393166639552,4.0922374891289,52.5,51.15,380.0,0.62,3.20175604641622,3.1777813049331702,3.24192076384683,0.0,5.0
140.0,0.318385351764978,8.490393063158441,14.499037832012801,3.8077471448045896,57.5,56.56,355.0,0.44,2.63044963255293,2.59243840974992,2.67567588949658,0.0,5.0
68.0,0.377933862706543,7.783623229415539,18.349020026654397,4.28477547767414,50.0,48.85,335.0,0.37,2.46448274690032,2.19160621549866,2.37924171633598,0.0,4.0
97.0,0.15537254889566698,8.79595801612015,13.149786121714099,3.62777832932171,57.5,56.64,274.0,0.27,2.12721688759882,1.69808749960907,1.5128964398692502,0.0,7.0
46.0,0.318171031755943,8.44670372623605,14.496130122974998,3.80734070965569,47.5,46.51,335.0,0.41,2.5884846464945,2.2895183148033103,2.3253937962555,0.0,6.0
47.0,0.393494290854566,8.00552137647722,16.1896148288895,4.02415356308693,52.5,51.47,303.0,0.34,2.52252192455153,1.96128971185108,1.8417222469403896,0.0,7.0
6.0,0.507820890100846,7.27121232309507,18.9374935337928,4.35296823925946,45.0,43.95,361.0,0.51,2.7284502169150096,2.73880272302145,2.8109057178471404,0.0,1.0
15.0,0.453349227788378,8.11943805428829,16.6872201176175,4.08557764032717,45.0,44.0,314.0,0.32,2.1698491052756204,1.95597056987351,2.08862953557288,0.0,4.0
18.0,0.548872736203515,8.4629618235225,15.5797558885937,3.94709540271662,45.0,44.06,303.0,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0.0,4.0
33.0,0.00277230588302255,9.5910784015786,6.84441745435454,2.61849881547478,45.0,44.43,215.0,0.14,1.27845166018596,1.21431481065107,1.2563298654263702,0.0,3.0
190.0,0.42531150331657,10.760982706437199,11.8113193519119,3.43889684323444,60.0,59.28,330.0,0.33,2.1909729443075903,2.15884826216157,2.2191780914660497,0.0,2.0
165.0,0.4207597586844221,10.204180588373301,12.0170686598229,3.46719620483134,60.0,59.18,348.0,0.39,2.5143292130474304,2.47393832146529,2.55022402410402,0.0,5.0
155.0,0.32875447991489803,9.78042026632867,9.268504672677091,3.0445800409046204,57.5,56.84,258.0,0.2,1.57023419360903,1.46265038169029,1.51552872785933,0.0,3.0
23.0,0.3603724233985109,8.10696133630383,16.2910029693581,4.0413358630191,50.0,48.93,307.0,0.34,2.5696416372065203,1.98715077397166,1.90016870873456,0.0,7.0
34.0,0.4682366021015739,8.18518714176842,16.1354833262518,4.0183999480797015,47.5,46.41,361.0,0.51,2.74385774128057,2.74216226890262,2.8085393123633504,0.0,2.0
148.0,0.469076401300418,8.772870771260349,15.026448306966099,3.878227755889681,57.5,56.59,357.0,0.43,2.62800414159788,2.60806042672528,2.6984977915361203,0.0,2.0
19.0,0.659402848899048,8.076549380454122,16.0911956819896,4.0133731070087,45.0,44.23,324.0,0.34,2.11083612943326,2.11203833521229,2.16164576214241,0.0,1.0
34.0,0.11768569717501197,8.64024445283579,11.4147415503754,3.37854001455094,50.0,49.15,248.0,0.21,1.81909909756808,1.4668095998376598,1.32480838425523,0.0,7.0
23.0,0.111990492688652,8.772380674951169,11.3141248966727,3.36738794732194,45.0,44.23,291.0,0.27,1.99689928125917,1.78778755986983,1.78046436052998,0.0,6.0
115.0,0.406762832042752,8.290352651575281,15.442759869295196,3.9301556408850495,55.0,54.02,358.0,0.46,2.65356455325359,2.63537213614836,2.7265683539358503,0.0,2.0
134.0,0.452855123064439,7.45621695918846,19.67282845718,4.43618376914105,55.0,53.91,372.0,0.53,2.95245561577626,2.95612059660948,3.0401791340662903,0.0,1.0
46.0,0.3740406011782771,8.48255616218711,12.0387512219412,3.47026254283366,47.5,46.84,296.0,0.27,1.8147694653826,1.8021965396589696,1.82808496321342,0.0,5.0
110.0,0.447096568624234,7.52941488092462,18.751369823541104,4.33136487276919,52.5,51.55,359.0,0.47,2.65308748124407,2.65477389086321,2.7311601337412594,0.0,1.0
171.0,0.6347854878019,9.76000440821502,14.5887695724635,3.81990039093074,60.0,58.9,374.0,0.52,3.01694671534246,3.00051896305704,3.09546729601561,0.0,2.0
26.0,0.0313934775024982,9.146515004498553,8.226848730686429,2.87235015618319,45.0,44.44,233.0,0.17,1.33742630000395,1.3463363509830002,1.35335142342819,0.0,2.0
19.0,0.144723123230885,8.343878571076111,12.584835875868,3.55365824743086,45.0,44.29,305.0,0.29,1.91347656835935,1.90010268952602,1.93173183663838,0.0,5.0
134.0,0.4209412571378111,8.65257723742719,14.6830277516888,3.83223439324619,55.0,53.97,346.0,0.43,2.7627668928767206,2.45142707081578,2.47459474948107,0.0,6.0
125.0,0.4986197272775301,9.41859002446716,7.13496947245772,2.67111690418456,52.5,51.89,213.0,0.13,1.3453620045048,1.22110425025124,1.18760266834427,0.0,6.0
227.0,0.0171312105293578,7.12920089680597,10.548514565965698,3.2498303861991205,60.0,59.32,323.0,0.3,2.09335121379838,2.06390355457172,2.12739841748665,0.0,1.0
106.0,0.38940370825907,8.11906222264567,16.3294610011854,4.040999962302,55.0,53.75,378.0,0.57,3.1173358521264904,3.08820821973734,3.16142288594648,0.0,5.0
81.0,0.3849748485991721,8.73054627071345,13.7649057227759,3.71324987210743,50.0,49.08,326.0,0.35,2.4026854252776,2.13291235013362,2.1489384657374,0.0,6.0
122.0,0.38045707495141295,10.660016214647,10.752713962457301,3.28042226324148,60.0,59.17,264.0,0.24,2.04263548064716,1.65049955671103,1.44216499002162,0.0,7.0
140.0,0.451857748999064,8.62385776820442,16.3556314950327,4.044169393459471,57.5,56.4,346.0,0.39,2.60402837760052,2.3521171923734903,2.54530115099908,0.0,4.0
3.0,0.480453753861568,8.14498282538653,16.5726976825582,4.07091770571519,45.0,43.83,358.0,0.5,2.78449759761626,2.6584599341791098,2.78492511723715,0.0,3.0
197.0,0.264852357769192,11.3894928030293,9.6717698775299,3.1102636242984505,60.0,59.42,291.0,0.23,1.75210050073652,1.7391209673778998,1.7659792184087,0.0,2.0
33.0,0.559710381870944,7.29065241247456,19.8190712759666,4.45262800989816,47.5,46.33,373.0,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0.0,1.0
12.0,0.385522882451991,8.307834764568321,14.820730510876999,3.85018543191747,45.0,44.08,343.0,0.42,2.40710668441506,2.38959334131915,2.46306892788521,0.0,5.0
165.0,0.548719826535305,8.009851100186982,18.930057997162894,4.35399646877634,57.5,56.42,375.0,0.52,3.0247903985982205,3.00424349980372,3.1133197298525297,0.0,1.0
110.0,0.429199725421646,8.19399813325116,15.9843667990104,3.99825067420707,55.0,53.92,368.0,0.51,2.8627203110261,2.84644412241291,2.9338118649725096,0.0,2.0
52.0,0.0188748995087081,8.33729908184638,14.1204395531493,3.75807482923326,47.5,46.68,282.0,0.24,1.84595896796529,1.65218986346018,1.74949823705365,0.0,4.0
40.0,0.529287108402126,7.26454335530475,19.0371005300203,4.3640664013929,47.5,46.47,362.0,0.51,2.72921064695173,2.74004123307032,2.80845238792777,0.0,1.0
95.0,0.350406747554426,8.819771579124689,13.858704251959699,3.72318245920918,57.5,56.6,285.0,0.29,2.2615497528399504,1.78576989542637,1.61436182039055,0.0,7.0
127.0,0.324838464644511,8.45215911561526,15.3192813710781,3.9141713600103514,55.0,54.08,313.0,0.26,2.12469648546932,1.8958356768581497,2.04189339712525,0.0,4.0
53.0,0.2776553574305,8.60673422755848,13.932703484280903,3.73703879672135,47.5,46.7,276.0,0.23,1.7987260582444,1.6104903607068997,1.70193810734698,0.0,4.0
21.0,0.5168847510095971,7.759138764202532,16.033006804637402,4.00839297788118,45.0,44.27,316.0,0.32,2.01081085586375,2.01560681612094,2.05914995650377,0.0,1.0
78.0,0.164840893668809,9.00303336671192,9.36995847064813,3.06297534335283,50.0,49.44,253.0,0.18,1.4614014228098795,1.46741523920731,1.47745646077174,0.0,2.0
60.0,0.418564436021935,8.435825617766959,16.217534007574198,4.03171196714968,55.0,53.84,330.0,0.44,2.9879974083317995,2.28714708507438,2.2135416267346697,0.0,7.0
67.0,0.473580155225351,8.39078817919519,15.863095937490597,3.983271343962,50.0,48.97,347.0,0.42,2.54603869063526,2.4168139321594704,2.54459967597896,0.0,3.0
100.0,0.214779717139482,8.6724211501609,11.7114269380877,3.42398640862235,52.5,51.84,295.0,0.26,1.79157217153245,1.77347471783502,1.7980906987050602,0.0,5.0
57.0,0.225838918777084,8.88103605527149,11.5639047058517,3.40138961312321,47.5,46.73,290.0,0.25,1.9887227024133,1.7788365530393502,1.76952058460175,0.0,6.0
110.0,0.566878424931826,9.59232377577839,14.6846811157203,3.8325310877176704,60.0,58.93,322.0,0.4,2.8562807655987,2.2031721985169903,2.0504881217392703,0.0,7.0
174.0,0.3737866152209721,11.6035691238445,8.92221505543661,2.9875346875394304,60.0,59.45,278.0,0.21,1.64989760797703,1.63334460213191,1.6478043640210602,0.0,5.0
107.0,0.584963057070281,9.537644617800463,14.6649922252865,3.82990969162879,60.0,58.87,327.0,0.42,2.93762193003632,2.26243694902021,2.11190435100504,0.0,7.0
40.0,0.458082938129427,8.37162248585945,14.6464294922856,3.82723638515754,47.5,46.63,340.0,0.4,2.34442023047477,2.3301689953131404,2.3962776060099,0.0,5.0
65.0,0.60073414171172,7.99957106078375,19.159956153028702,4.38412914412783,50.0,48.79,349.0,0.44,2.66759344700624,2.40932129734364,2.60654694600216,0.0,4.0
49.0,0.3712865889122561,7.3609974420656705,17.4369869977084,4.17880646706438,47.5,46.65,343.0,0.41,2.3672859596711,2.37651424845071,2.44300093479042,0.0,1.0
108.0,0.299224744294037,8.637790884666599,13.747699981611099,3.70830405643916,52.5,51.55,333.0,0.38,2.5066902926657204,2.22662991244785,2.2387732901673902,0.0,6.0
79.0,0.18935632877616895,8.55376945275879,11.457860248664598,3.38492955905029,50.0,49.27,280.0,0.22,1.73891263665782,1.6321244878946,1.69428706328261,0.0,3.0
