idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
140.0,0.742644394358705,0.0316986894763997,0.0490907242467039,0.0292426044355129,0.217915980896113,0.477986458005075,0.4455431676915471,57.5,56.56,355.0,0.44,2.63044963255293,2.59243840974992,2.67567588949658,0.0,5.0
68.0,0.907389836953239,0.0247690818707163,0.037177771440943,0.0242805567217556,0.152702585040599,0.338479756783028,0.3767140153580271,50.0,48.85,335.0,0.37,2.46448274690032,2.19160621549866,2.37924171633598,0.0,4.0
97.0,0.790985912749764,0.0518359117166435,0.0381081420169789,0.0245952182676588,0.160599640646504,0.417467207227701,0.386943798973951,57.5,56.64,274.0,0.27,2.12721688759882,1.69808749960907,1.5128964398692502,0.0,7.0
46.0,1.14944379556179,0.0276729234401269,0.0415897453131276,0.0167928851537023,0.16318283252251506,0.396728604088238,0.35523952155175204,47.5,46.51,335.0,0.41,2.5884846464945,2.2895183148033103,2.3253937962555,0.0,6.0
47.0,1.1100933274199498,0.0368227631346713,0.0351537955931973,0.0229214607597313,0.19180068546857096,0.38831558022016704,0.4067312285438861,52.5,51.47,303.0,0.34,2.52252192455153,1.96128971185108,1.8417222469403896,0.0,7.0
6.0,1.06401845785809,0.0137264177719173,0.0405452365116783,0.0191659208098648,0.166077675351561,0.5099241775073731,0.357259616776582,45.0,43.95,361.0,0.51,2.7284502169150096,2.73880272302145,2.8109057178471404,0.0,1.0
15.0,1.38141904074541,0.0523087248305613,0.0551266416879031,0.0276630404028541,0.216564102286615,0.506699448126798,0.371147493368518,45.0,44.0,314.0,0.32,2.1698491052756204,1.95597056987351,2.08862953557288,0.0,4.0
18.0,1.0314130965563,0.0105369187586914,0.0307740456357796,0.009846906936781221,0.176482298753886,0.508116609053048,0.350028915593748,45.0,44.06,303.0,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0.0,4.0
33.0,0.7227862063308079,0.00876317422204217,0.0392663613758509,0.0110598059872768,0.16275403302317906,0.212152393113922,0.210835719974902,45.0,44.43,215.0,0.14,1.27845166018596,1.21431481065107,1.2563298654263702,0.0,3.0
190.0,0.58429638434401,0.00933947428206662,0.0221189238044228,0.0105731405278822,0.140053538702635,0.463014627614382,0.390066677577106,60.0,59.28,330.0,0.33,2.1909729443075903,2.15884826216157,2.2191780914660497,0.0,2.0
165.0,0.600911989692068,0.00876823767148537,0.0158709335878708,0.0178641506031078,0.155152023271877,0.519081440964801,0.363503194657504,60.0,59.18,348.0,0.39,2.5143292130474304,2.47393832146529,2.55022402410402,0.0,5.0
155.0,0.539620337665202,0.0133791462210344,0.0294821232318575,0.008641975133893521,0.150643067828229,0.386506252629973,0.3434038169121911,57.5,56.84,258.0,0.2,1.57023419360903,1.46265038169029,1.51552872785933,0.0,3.0
